Age,Gender,edu_level,EP1,EP2,EP3,EP4,EP5,SCTB1,SCTB2,SCTB3,SCTB4,SCTB5,CR1,CR2,CR3,T1,T2,T3,T4,PS1,PS2,PS3,PS4,PS5
53,2,5,1,1,1,1,1,2,3,1,5,5,1,1,2,1,1,1,1,1,1,1,1,1
30,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4
27,1,4,5,5,4,4,4,3,2,3,3,3,3,3,3,4,4,3,3,5,3,4,3,3
36,1,4,4,4,3,4,4,4,2,2,2,2,4,4,3,3,3,4,4,4,4,4,4,4
47,1,3,2,4,2,2,5,4,3,1,5,5,1,2,2,2,4,2,2,2,2,1,1,1
25,1,4,4,4,4,4,3,5,5,4,5,5,4,4,4,4,5,5,4,4,4,2,4,4
29,2,4,5,5,5,5,5,5,5,2,5,5,3,3,3,5,5,5,5,3,3,4,4,3
23,1,4,5,5,5,5,5,4,4,5,4,4,4,5,4,5,4,5,5,5,4,5,4,4
21,2,4,4,4,4,4,4,3,3,2,3,2,2,3,4,4,3,4,4,4,3,4,4,4
45,2,3,5,3,4,5,4,4,3,4,5,5,5,4,4,5,4,5,5,5,5,4,4,4
34,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5
32,1,4,5,5,5,4,5,3,3,3,3,3,5,5,4,5,4,5,5,4,4,5,5,5
18,2,3,3,3,3,4,4,2,3,4,3,4,4,3,4,4,3,3,4,4,3,3,4,3
21,2,4,5,5,5,5,5,3,1,1,1,1,4,3,4,4,4,5,5,5,5,5,5,5
20,2,4,5,5,5,5,4,1,1,3,2,5,5,5,5,5,5,5,5,5,5,4,5,5
25,2,4,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
43,1,4,4,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,5,4,4,3,3,3
56,2,5,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,5,4,4,4,4,4
37,2,5,4,5,5,4,5,3,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,5
40,2,4,4,5,4,4,4,4,4,4,4,4,3,5,4,5,5,5,5,5,5,5,5,5
46,2,4,5,4,4,4,4,1,1,1,1,2,1,5,2,4,1,4,3,3,4,4,4,4
37,1,4,3,3,3,3,3,4,4,5,4,4,2,3,2,3,3,3,4,3,3,4,4,4
34,1,5,5,4,5,5,4,2,2,5,5,2,4,4,4,4,4,4,4,4,4,3,4,4
45,2,4,4,4,5,5,4,5,5,3,3,4,4,2,4,3,3,3,3,5,4,4,4,4
21,2,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
